CountyID,County,stateID,,CountyID,CountyStateID
568,McPherson,17,,568,McPherson17
569,Miami,17,,569,Miami17
570,Montgomery,17,,570,Montgomery17
571,Morris,17,,571,Morris17
572,Neosho,17,,572,Neosho17
573,Osage,17,,573,Osage17
574,Pawnee,17,,574,Pawnee17
575,Pottawatomie,17,,575,Pottawatomie17
576,Pratt,17,,576,Pratt17
577,Reno,17,,577,Reno17
578,Riley,17,,578,Riley17
579,Rush,17,,579,Rush17
580,Saline,17,,580,Saline17
581,Sedgwick,17,,581,Sedgwick17
582,Shawnee,17,,582,Shawnee17
583,Stafford,17,,583,Stafford17
584,Sumner,17,,584,Sumner17
585,Wyandotte,17,,585,Wyandotte17
586,Anderson,18,,586,Anderson18
587,Barren,18,,587,Barren18
588,Boone,18,,588,Boone18
589,Bourbon,18,,589,Bourbon18
590,Boyd,18,,590,Boyd18
591,Boyle,18,,591,Boyle18
592,Breckinridge,18,,592,Breckinridge18
593,Bullitt,18,,593,Bullitt18
594,Calloway,18,,594,Calloway18
595,Campbell,18,,595,Campbell18
596,Carroll,18,,596,Carroll18
597,Christian,18,,597,Christian18
598,Clark,18,,598,Clark18
599,Daviess,18,,599,Daviess18
600,Fayette,18,,600,Fayette18
601,Floyd,18,,601,Floyd18
602,Franklin,18,,602,Franklin18
603,Fulton,18,,603,Fulton18
604,Gallatin,18,,604,Gallatin18
605,Garrard,18,,605,Garrard18
606,Grant,18,,606,Grant18
607,Graves,18,,607,Graves18
608,Green,18,,608,Green18
609,Hardin,18,,609,Hardin18
610,Henderson,18,,610,Henderson18
611,Hickman,18,,611,Hickman18
612,Jefferson,18,,612,Jefferson18
613,Jessamine,18,,613,Jessamine18
614,Johnson,18,,614,Johnson18
615,Kenton,18,,615,Kenton18
616,Knox,18,,616,Knox18
617,Larue,18,,617,Larue18
618,Lawrence,18,,618,Lawrence18
619,Livingston,18,,619,Livingston18
620,Logan,18,,620,Logan18
621,Lyon,18,,621,Lyon18
622,Madison,18,,622,Madison18
623,Marshall,18,,623,Marshall18
624,McCracken,18,,624,McCracken18
625,Meade,18,,625,Meade18
